iter	Logloss
0	0.6893163234
1	0.6856342319
2	0.6820301914
3	0.6782803757
4	0.675223843
5	0.6720248025
6	0.6693607373
7	0.666129739
8	0.6634037789
9	0.6608076212
10	0.6583060106
11	0.6558452864
12	0.6530034314
13	0.6506279758
14	0.6483439458
15	0.6457759002
16	0.6437579909
17	0.6416095925
18	0.6398677663
19	0.6379167562
20	0.6360342603
21	0.6341721336
22	0.633016084
23	0.6312562005
24	0.6293667596
25	0.6275844855
26	0.6258354771
27	0.6246910951
28	0.623255662
29	0.6217553974
30	0.6204821879
31	0.6192673211
32	0.6179812949
33	0.6169050402
34	0.6156969034
35	0.6146553879
36	0.6133708048
37	0.6121391542
38	0.6110717695
39	0.6106040153
40	0.6097138378
41	0.60894235
42	0.6079884389
43	0.6072576947
44	0.6066013827
45	0.605832783
46	0.6047382225
47	0.6038041771
48	0.6027653989
49	0.6022746673
50	0.6018593128
51	0.6012695452
52	0.6006097001
53	0.5996262885
54	0.5989809947
55	0.5982021408
56	0.5975049899
57	0.5968457111
58	0.5962062112
59	0.5952876091
60	0.5943806414
61	0.593804213
62	0.5932313996
63	0.5928267121
64	0.5922453745
65	0.5913898437
66	0.5909251836
67	0.5902293207
68	0.5895675272
69	0.5892164605
70	0.58851042
71	0.5878415672
72	0.587502783
73	0.5867680834
74	0.5863266458
75	0.5859244347
76	0.5856293198
77	0.5851926146
78	0.5849287007
79	0.5846689935
80	0.5844058414
81	0.5840209393
82	0.5834731417
83	0.5831260343
84	0.5826950565
85	0.5824005619
86	0.5819778041
87	0.5813790636
88	0.5810230868
89	0.5803816013
90	0.5800906892
91	0.5799133928
92	0.5796696793
93	0.5792684516
94	0.5787080803
95	0.5781600544
96	0.5778120372
97	0.5774612304
98	0.5770103984
99	0.5766143524
100	0.5764219938
101	0.5761691973
102	0.5758471423
103	0.5756408433
104	0.5754824496
105	0.5752104344
106	0.5749205544
107	0.5746142128
108	0.5743279086
109	0.5741223637
110	0.5738962738
111	0.5736780989
112	0.5734946192
113	0.5732675864
114	0.5729941934
115	0.5727726121
116	0.5724232919
117	0.5721586463
118	0.5719255499
119	0.5717021671
120	0.571491137
121	0.5712889185
122	0.5711294222
123	0.5709290565
124	0.570748175
125	0.5705115506
126	0.5699742824
127	0.5698336332
128	0.5696781688
129	0.569520139
130	0.5693404741
131	0.5691238707
132	0.5689448652
133	0.5688154223
134	0.5686738549
135	0.5685606378
136	0.5684017712
137	0.567921522
138	0.5674075632
139	0.5672210829
140	0.5670268821
141	0.5668661447
142	0.5666841926
143	0.5664504848
144	0.5663636403
145	0.5662086159
146	0.5660171411
147	0.5656259087
148	0.5655322011
149	0.5653618578
150	0.5651342745
151	0.5649819446
152	0.5648248245
153	0.5646292139
154	0.5645291299
155	0.5643903429
156	0.5639204362
157	0.5636881415
158	0.5634861017
159	0.5633628399
160	0.5632597796
161	0.5631783166
162	0.5630438535
163	0.5628646733
164	0.5626829173
165	0.5625686935
166	0.5624423907
167	0.5623051826
168	0.5621783011
169	0.5619595741
170	0.5618331436
171	0.5617273206
172	0.5615847002
173	0.5615285678
174	0.561440063
175	0.5613000619
176	0.5611919431
177	0.5610433305
178	0.5609268564
179	0.5608653058
180	0.5607502008
181	0.5605942708
182	0.5605193072
183	0.5604233957
184	0.5602814035
185	0.5601609532
186	0.5599741137
187	0.5599501914
188	0.5598516868
189	0.5595865335
190	0.5594390028
191	0.5593971327
192	0.5592729681
193	0.5591321347
194	0.5590074464
195	0.5589153693
196	0.5588307522
197	0.558724287
198	0.5586288411
199	0.5585332603
200	0.5583485343
201	0.5582355449
202	0.558075359
203	0.557893527
204	0.5577963763
205	0.5576473799
206	0.5575091012
207	0.5574348303
208	0.5573263582
209	0.5572011185
210	0.5570618375
211	0.5569486351
212	0.5568228091
213	0.5567066015
214	0.5567023331
215	0.5565958424
216	0.5563574005
217	0.5561968485
218	0.5560607038
219	0.5559834017
220	0.5558931681
221	0.555780855
222	0.5556843642
223	0.5555628895
224	0.5551987012
225	0.5551506899
226	0.5550499225
227	0.5549416187
228	0.5548436921
229	0.554839449
230	0.5547923616
231	0.5547099379
232	0.5545845302
233	0.5545686692
234	0.5545480037
235	0.5544469143
236	0.5543662205
237	0.5542740774
238	0.5542200822
239	0.5542072461
240	0.554048618
241	0.5538862738
242	0.5537606025
243	0.5536143073
244	0.5535447065
245	0.5531855949
246	0.5530903314
247	0.5530107794
248	0.5529322248
249	0.552812942
250	0.5527149567
251	0.5523972506
252	0.5522800576
253	0.5519348132
254	0.5518448857
255	0.5516586872
256	0.5515590701
257	0.5514318091
258	0.5513355252
259	0.5512326218
260	0.5511249683
261	0.5510277116
262	0.5510025161
263	0.5509271533
264	0.5509234525
265	0.5508522531
266	0.5508234623
267	0.5506727562
268	0.5506427537
269	0.5506376415
270	0.5505627054
271	0.5504662218
272	0.5503517284
273	0.5502927573
274	0.5501360929
275	0.5501315922
276	0.5500409341
277	0.5499729517
278	0.5499237067
279	0.5497805367
280	0.5497656457
281	0.549732283
282	0.5497106892
283	0.5496206176
284	0.5495186985
285	0.5494547783
286	0.5493257389
287	0.5492867885
288	0.5492642881
289	0.5491838794
290	0.5490748343
291	0.5489719038
292	0.5488643582
293	0.5487326446
294	0.5486474888
295	0.5483434246
296	0.5480061702
297	0.5476895604
298	0.5473476126
299	0.5473431791
300	0.5473010554
301	0.5471366704
302	0.5470881188
303	0.546962945
304	0.5467889949
305	0.5464671397
306	0.5464510352
307	0.5464471168
308	0.5463273212
309	0.5462963672
310	0.5461723388
311	0.5458708343
312	0.5455976892
313	0.5454828733
